FID1	IID1	FID2	IID2	Z0	Z1	Z2	PI_HAT	RELATIONSHIP_CATEGORY
MG0885	MG0885	MG0983	MG0983	0.0006	0.9597	0.0396	0.5195	First_degree
MG0895	MG0895	MG0930	MG0930	0.9108	0.0000	0.0892	0.0892	Third_degree
MG0895	MG0895	MG0951	MG0951	0.9115	0.0000	0.0885	0.0885	Third_degree
MG0895	MG0895	MG0985	MG0985	0.9080	0.0000	0.0920	0.0920	Third_degree
MG0898	MG0898	MG1042	MG1042	0.0005	0.9658	0.0337	0.5166	First_degree
MG0902	MG0902	MG1052	MG1052	0.9086	0.0000	0.0914	0.0914	Third_degree
MG0905	MG0905	MG1034	MG1034	0.0001	0.9592	0.0407	0.5203	First_degree
MG0911	MG0911	MG1064	MG1064	0.9109	0.0000	0.0891	0.0891	Third_degree
MG0912	MG0912	MG1077	MG1077	0.0005	0.9830	0.0165	0.5080	First_degree
MG0913	MG0913	MG1006	MG1006	0.9082	0.0000	0.0918	0.0918	Third_degree
MG0915	MG0915	MG1073	MG1073	0.0001	0.9571	0.0427	0.5213	First_degree
MG0924	MG0924	MG1000	MG1000	0.0010	0.9533	0.0457	0.5223	First_degree
MG0930	MG0930	MG1022	MG1022	0.0008	0.9566	0.0427	0.5209	First_degree
MG0931	MG0931	MG0936	MG0936	0.0003	0.9648	0.0350	0.5174	First_degree
MG0931	MG0931	MG0963	MG0963	0.8997	0.0000	0.1003	0.1003	Third_degree
MG0932	MG0932	MG1107	MG1107	0.9112	0.0000	0.0888	0.0888	Third_degree
MG0933	MG0933	MG1076	MG1076	0.0010	0.9474	0.0516	0.5253	First_degree
MG0934	MG0934	MG1009	MG1009	0.0004	0.9631	0.0365	0.5181	First_degree
MG0934	MG0934	MG1031	MG1031	0.0004	0.9594	0.0402	0.5199	First_degree
MG0936	MG0936	MG1035	MG1035	0.8816	0.0215	0.0970	0.1077	Third_degree
MG0937	MG0937	MG1100	MG1100	0.0005	0.9831	0.0164	0.5079	First_degree
MG0939	MG0939	MG0980	MG0980	0.0004	0.9537	0.0459	0.5228	First_degree
MG0942	MG0942	MG0960	MG0960	0.9104	0.0000	0.0896	0.0896	Third_degree
MG0945	MG0945	MG1060	MG1060	0.0008	0.9633	0.0359	0.5176	First_degree
MG0949	MG0949	MG1027	MG1027	0.0001	0.9586	0.0412	0.5206	First_degree
MG0951	MG0951	MG1016	MG1016	0.9097	0.0000	0.0903	0.0903	Third_degree
MG0952	MG0952	MG0963	MG0963	0.0003	0.9677	0.0320	0.5159	First_degree
MG0953	MG0953	MG1068	MG1068	0.0004	0.9799	0.0197	0.5096	First_degree
MG0954	MG0954	MG0966	MG0966	0.0005	0.9579	0.0415	0.5205	First_degree
MG0957	MG0957	MG1071	MG1071	0.0000	1.0000	0.0000	0.5000	First_degree
MG0964	MG0964	MG1043	MG1043	0.0008	0.9614	0.0379	0.5185	First_degree
MG0967	MG0967	MG1011	MG1011	0.0004	0.9615	0.0381	0.5189	First_degree
MG0968	MG0968	MG1025	MG1025	0.9089	0.0000	0.0911	0.0911	Third_degree
MG0970	MG0970	MG0978	MG0978	0.9038	0.0000	0.0962	0.0962	Third_degree
MG0970	MG0970	MG1052	MG1052	0.9041	0.0045	0.0914	0.0936	Third_degree
MG0983	MG0983	MG0988	MG0988	0.0008	0.9565	0.0428	0.5210	First_degree
MG0983	MG0983	MG1047	MG1047	0.9111	0.0000	0.0889	0.0889	Third_degree
MG0984	MG0984	MG1016	MG1016	0.9069	0.0000	0.0931	0.0931	Third_degree
MG0986	MG0986	MG1000	MG1000	0.9073	0.0000	0.0927	0.0927	Third_degree
MG0987	MG0987	MG1020	MG1020	0.0008	0.9601	0.0391	0.5192	First_degree
MG0987	MG0987	MG1023	MG1023	0.0005	0.9613	0.0381	0.5188	First_degree
MG0994	MG0994	MG0999	MG0999	0.7759	0.1472	0.0769	0.1505	Third_degree
MG1010	MG1010	MG1099	MG1099	0.0004	0.9662	0.0334	0.5165	First_degree
MG1012	MG1012	MG1048	MG1048	0.9102	0.0000	0.0898	0.0898	Third_degree
MG1016	MG1016	MG1083	MG1083	0.9053	0.0000	0.0947	0.0947	Third_degree
MG1019	MG1019	MG1084	MG1084	0.0009	0.9615	0.0376	0.5183	First_degree
