FID1	IID1	FID2	IID2	Z0	Z1	Z2	PI_HAT	RELATIONSHIP_CATEGORY
MG1372	MG1372	MG1461	MG1461	0.8389	0.0000	0.1611	0.1611	Third_degree
MG1373	MG1373	MG1374	MG1374	0.8395	0.0000	0.1605	0.1605	Third_degree
MG1373	MG1373	MG1376	MG1376	0.8415	0.0000	0.1585	0.1585	Third_degree
MG1373	MG1373	MG1377	MG1377	0.8429	0.0000	0.1571	0.1571	Third_degree
MG1373	MG1373	MG1378	MG1378	0.8469	0.0000	0.1531	0.1531	Third_degree
MG1373	MG1373	MG1379	MG1379	0.8263	0.0000	0.1737	0.1737	Third_degree
MG1373	MG1373	MG1380	MG1380	0.8309	0.0000	0.1691	0.1691	Third_degree
MG1373	MG1373	MG1381	MG1381	0.8418	0.0000	0.1582	0.1582	Third_degree
MG1373	MG1373	MG1382	MG1382	0.8313	0.0000	0.1687	0.1687	Third_degree
MG1373	MG1373	MG1383	MG1383	0.8416	0.0000	0.1584	0.1584	Third_degree
MG1373	MG1373	MG1384	MG1384	0.8311	0.0000	0.1689	0.1689	Third_degree
MG1373	MG1373	MG1385	MG1385	0.8299	0.0000	0.1701	0.1701	Third_degree
MG1373	MG1373	MG1388	MG1388	0.8367	0.0000	0.1633	0.1633	Third_degree
MG1373	MG1373	MG1389	MG1389	0.8318	0.0000	0.1682	0.1682	Third_degree
MG1373	MG1373	MG1390	MG1390	0.8321	0.0000	0.1679	0.1679	Third_degree
MG1373	MG1373	MG1391	MG1391	0.8358	0.0000	0.1642	0.1642	Third_degree
MG1373	MG1373	MG1392	MG1392	0.8264	0.0000	0.1736	0.1736	Third_degree
MG1373	MG1373	MG1393	MG1393	0.8371	0.0000	0.1629	0.1629	Third_degree
MG1373	MG1373	MG1394	MG1394	0.8544	0.0000	0.1456	0.1456	Third_degree
MG1373	MG1373	MG1395	MG1395	0.8368	0.0000	0.1632	0.1632	Third_degree
MG1373	MG1373	MG1397	MG1397	0.8435	0.0000	0.1565	0.1565	Third_degree
MG1373	MG1373	MG1398	MG1398	0.8291	0.0000	0.1709	0.1709	Third_degree
MG1373	MG1373	MG1399	MG1399	0.8360	0.0000	0.1640	0.1640	Third_degree
MG1373	MG1373	MG1401	MG1401	0.8259	0.0000	0.1741	0.1741	Third_degree
MG1373	MG1373	MG1402	MG1402	0.8399	0.0000	0.1601	0.1601	Third_degree
MG1373	MG1373	MG1403	MG1403	0.8388	0.0000	0.1612	0.1612	Third_degree
MG1373	MG1373	MG1404	MG1404	0.8483	0.0000	0.1517	0.1517	Third_degree
MG1373	MG1373	MG1405	MG1405	0.8370	0.0000	0.1630	0.1630	Third_degree
MG1373	MG1373	MG1406	MG1406	0.8405	0.0000	0.1595	0.1595	Third_degree
MG1373	MG1373	MG1407	MG1407	0.8375	0.0000	0.1625	0.1625	Third_degree
MG1373	MG1373	MG1408	MG1408	0.8376	0.0000	0.1624	0.1624	Third_degree
MG1373	MG1373	MG1409	MG1409	0.8311	0.0000	0.1689	0.1689	Third_degree
MG1373	MG1373	MG1410	MG1410	0.8354	0.0000	0.1646	0.1646	Third_degree
MG1373	MG1373	MG1411	MG1411	0.8342	0.0000	0.1658	0.1658	Third_degree
MG1373	MG1373	MG1412	MG1412	0.8394	0.0000	0.1606	0.1606	Third_degree
MG1373	MG1373	MG1413	MG1413	0.8425	0.0000	0.1575	0.1575	Third_degree
MG1373	MG1373	MG1414	MG1414	0.8354	0.0000	0.1646	0.1646	Third_degree
MG1373	MG1373	MG1415	MG1415	0.8285	0.0000	0.1715	0.1715	Third_degree
MG1373	MG1373	MG1416	MG1416	0.8443	0.0000	0.1557	0.1557	Third_degree
MG1373	MG1373	MG1417	MG1417	0.8379	0.0000	0.1621	0.1621	Third_degree
MG1373	MG1373	MG1418	MG1418	0.8397	0.0000	0.1603	0.1603	Third_degree
MG1373	MG1373	MG1419	MG1419	0.8370	0.0000	0.1630	0.1630	Third_degree
MG1373	MG1373	MG1420	MG1420	0.8354	0.0000	0.1646	0.1646	Third_degree
MG1373	MG1373	MG1421	MG1421	0.8315	0.0000	0.1685	0.1685	Third_degree
MG1373	MG1373	MG1422	MG1422	0.8303	0.0000	0.1697	0.1697	Third_degree
MG1373	MG1373	MG1423	MG1423	0.8390	0.0000	0.1610	0.1610	Third_degree
MG1373	MG1373	MG1424	MG1424	0.8385	0.0000	0.1615	0.1615	Third_degree
MG1373	MG1373	MG1425	MG1425	0.8367	0.0000	0.1633	0.1633	Third_degree
MG1373	MG1373	MG1426	MG1426	0.8337	0.0000	0.1663	0.1663	Third_degree
MG1373	MG1373	MG1427	MG1427	0.8375	0.0000	0.1625	0.1625	Third_degree
MG1373	MG1373	MG1428	MG1428	0.8442	0.0000	0.1558	0.1558	Third_degree
MG1373	MG1373	MG1429	MG1429	0.8407	0.0000	0.1593	0.1593	Third_degree
MG1373	MG1373	MG1430	MG1430	0.8414	0.0000	0.1586	0.1586	Third_degree
MG1373	MG1373	MG1431	MG1431	0.8412	0.0000	0.1588	0.1588	Third_degree
MG1373	MG1373	MG1432	MG1432	0.8387	0.0000	0.1613	0.1613	Third_degree
MG1373	MG1373	MG1433	MG1433	0.8440	0.0000	0.1560	0.1560	Third_degree
MG1373	MG1373	MG1434	MG1434	0.8363	0.0000	0.1637	0.1637	Third_degree
MG1373	MG1373	MG1435	MG1435	0.8404	0.0000	0.1596	0.1596	Third_degree
MG1373	MG1373	MG1436	MG1436	0.8365	0.0000	0.1635	0.1635	Third_degree
MG1373	MG1373	MG1437	MG1437	0.8381	0.0000	0.1619	0.1619	Third_degree
MG1373	MG1373	MG1438	MG1438	0.8361	0.0000	0.1639	0.1639	Third_degree
MG1373	MG1373	MG1439	MG1439	0.8428	0.0000	0.1572	0.1572	Third_degree
MG1373	MG1373	MG1440	MG1440	0.8378	0.0000	0.1622	0.1622	Third_degree
MG1373	MG1373	MG1441	MG1441	0.8406	0.0000	0.1594	0.1594	Third_degree
MG1373	MG1373	MG1442	MG1442	0.8347	0.0000	0.1653	0.1653	Third_degree
MG1373	MG1373	MG1443	MG1443	0.8573	0.0000	0.1427	0.1427	Third_degree
MG1373	MG1373	MG1444	MG1444	0.8373	0.0000	0.1627	0.1627	Third_degree
MG1373	MG1373	MG1445	MG1445	0.8324	0.0000	0.1676	0.1676	Third_degree
MG1373	MG1373	MG1446	MG1446	0.8355	0.0000	0.1645	0.1645	Third_degree
MG1373	MG1373	MG1447	MG1447	0.8346	0.0000	0.1654	0.1654	Third_degree
MG1373	MG1373	MG1448	MG1448	0.8356	0.0000	0.1644	0.1644	Third_degree
MG1373	MG1373	MG1449	MG1449	0.8377	0.0000	0.1623	0.1623	Third_degree
MG1373	MG1373	MG1450	MG1450	0.8378	0.0000	0.1622	0.1622	Third_degree
MG1373	MG1373	MG1451	MG1451	0.8487	0.0000	0.1513	0.1513	Third_degree
MG1373	MG1373	MG1452	MG1452	0.8339	0.0000	0.1661	0.1661	Third_degree
MG1373	MG1373	MG1453	MG1453	0.8396	0.0000	0.1604	0.1604	Third_degree
MG1373	MG1373	MG1454	MG1454	0.8352	0.0000	0.1648	0.1648	Third_degree
MG1373	MG1373	MG1455	MG1455	0.8386	0.0000	0.1614	0.1614	Third_degree
MG1373	MG1373	MG1456	MG1456	0.8384	0.0000	0.1616	0.1616	Third_degree
MG1373	MG1373	MG1457	MG1457	0.8384	0.0000	0.1616	0.1616	Third_degree
MG1373	MG1373	MG1459	MG1459	0.8387	0.0000	0.1613	0.1613	Third_degree
MG1373	MG1373	MG1460	MG1460	0.8318	0.0000	0.1682	0.1682	Third_degree
MG1373	MG1373	MG1461	MG1461	0.8321	0.0000	0.1679	0.1679	Third_degree
MG1374	MG1374	MG1376	MG1376	0.8414	0.0000	0.1586	0.1586	Third_degree
MG1374	MG1374	MG1377	MG1377	0.8344	0.0000	0.1656	0.1656	Third_degree
MG1374	MG1374	MG1378	MG1378	0.8420	0.0000	0.1580	0.1580	Third_degree
MG1374	MG1374	MG1379	MG1379	0.8303	0.0000	0.1697	0.1697	Third_degree
MG1374	MG1374	MG1380	MG1380	0.8360	0.0000	0.1640	0.1640	Third_degree
MG1374	MG1374	MG1381	MG1381	0.8399	0.0000	0.1601	0.1601	Third_degree
MG1374	MG1374	MG1382	MG1382	0.8341	0.0000	0.1659	0.1659	Third_degree
MG1374	MG1374	MG1383	MG1383	0.8290	0.0000	0.1710	0.1710	Third_degree
MG1374	MG1374	MG1384	MG1384	0.8307	0.0000	0.1693	0.1693	Third_degree
MG1374	MG1374	MG1385	MG1385	0.8264	0.0000	0.1736	0.1736	Third_degree
MG1374	MG1374	MG1388	MG1388	0.8382	0.0000	0.1618	0.1618	Third_degree
MG1374	MG1374	MG1389	MG1389	0.8324	0.0000	0.1676	0.1676	Third_degree
MG1374	MG1374	MG1390	MG1390	0.8337	0.0000	0.1663	0.1663	Third_degree
MG1374	MG1374	MG1391	MG1391	0.8458	0.0000	0.1542	0.1542	Third_degree
MG1374	MG1374	MG1392	MG1392	0.8276	0.0000	0.1724	0.1724	Third_degree
MG1374	MG1374	MG1393	MG1393	0.8370	0.0000	0.1630	0.1630	Third_degree
MG1374	MG1374	MG1394	MG1394	0.8529	0.0000	0.1471	0.1471	Third_degree
MG1374	MG1374	MG1395	MG1395	0.8358	0.0000	0.1642	0.1642	Third_degree
MG1374	MG1374	MG1397	MG1397	0.8387	0.0000	0.1613	0.1613	Third_degree
MG1374	MG1374	MG1398	MG1398	0.8376	0.0000	0.1624	0.1624	Third_degree
MG1374	MG1374	MG1399	MG1399	0.8257	0.0000	0.1743	0.1743	Third_degree
MG1374	MG1374	MG1401	MG1401	0.8340	0.0000	0.1660	0.1660	Third_degree
MG1374	MG1374	MG1402	MG1402	0.8353	0.0000	0.1647	0.1647	Third_degree
MG1374	MG1374	MG1403	MG1403	0.8404	0.0000	0.1596	0.1596	Third_degree
MG1374	MG1374	MG1404	MG1404	0.8492	0.0000	0.1508	0.1508	Third_degree
MG1374	MG1374	MG1405	MG1405	0.8347	0.0000	0.1653	0.1653	Third_degree
MG1374	MG1374	MG1406	MG1406	0.8325	0.0000	0.1675	0.1675	Third_degree
MG1374	MG1374	MG1407	MG1407	0.8323	0.0000	0.1677	0.1677	Third_degree
MG1374	MG1374	MG1408	MG1408	0.8393	0.0000	0.1607	0.1607	Third_degree
MG1374	MG1374	MG1409	MG1409	0.8312	0.0000	0.1688	0.1688	Third_degree
MG1374	MG1374	MG1410	MG1410	0.8335	0.0000	0.1665	0.1665	Third_degree
MG1374	MG1374	MG1411	MG1411	0.8380	0.0000	0.1620	0.1620	Third_degree
MG1374	MG1374	MG1412	MG1412	0.8362	0.0000	0.1638	0.1638	Third_degree
MG1374	MG1374	MG1413	MG1413	0.8415	0.0000	0.1585	0.1585	Third_degree
MG1374	MG1374	MG1414	MG1414	0.8339	0.0000	0.1661	0.1661	Third_degree
MG1374	MG1374	MG1415	MG1415	0.8307	0.0000	0.1693	0.1693	Third_degree
MG1374	MG1374	MG1416	MG1416	0.8496	0.0000	0.1504	0.1504	Third_degree
MG1374	MG1374	MG1417	MG1417	0.8404	0.0000	0.1596	0.1596	Third_degree
MG1374	MG1374	MG1418	MG1418	0.8364	0.0000	0.1636	0.1636	Third_degree
MG1374	MG1374	MG1419	MG1419	0.8344	0.0000	0.1656	0.1656	Third_degree
MG1374	MG1374	MG1420	MG1420	0.8369	0.0000	0.1631	0.1631	Third_degree
MG1374	MG1374	MG1421	MG1421	0.8397	0.0000	0.1603	0.1603	Third_degree
MG1374	MG1374	MG1422	MG1422	0.8338	0.0000	0.1662	0.1662	Third_degree
MG1374	MG1374	MG1423	MG1423	0.8377	0.0000	0.1623	0.1623	Third_degree
MG1374	MG1374	MG1424	MG1424	0.8321	0.0000	0.1679	0.1679	Third_degree
MG1374	MG1374	MG1425	MG1425	0.8382	0.0000	0.1618	0.1618	Third_degree
MG1374	MG1374	MG1426	MG1426	0.8350	0.0000	0.1650	0.1650	Third_degree
MG1374	MG1374	MG1427	MG1427	0.8379	0.0000	0.1621	0.1621	Third_degree
MG1374	MG1374	MG1428	MG1428	0.8379	0.0000	0.1621	0.1621	Third_degree
MG1374	MG1374	MG1429	MG1429	0.8330	0.0000	0.1670	0.1670	Third_degree
MG1374	MG1374	MG1430	MG1430	0.8399	0.0000	0.1601	0.1601	Third_degree
MG1374	MG1374	MG1431	MG1431	0.8373	0.0000	0.1627	0.1627	Third_degree
MG1374	MG1374	MG1432	MG1432	0.8368	0.0000	0.1632	0.1632	Third_degree
MG1374	MG1374	MG1433	MG1433	0.8445	0.0000	0.1555	0.1555	Third_degree
MG1374	MG1374	MG1434	MG1434	0.8363	0.0000	0.1637	0.1637	Third_degree
MG1374	MG1374	MG1435	MG1435	0.8355	0.0000	0.1645	0.1645	Third_degree
MG1374	MG1374	MG1436	MG1436	0.8399	0.0000	0.1601	0.1601	Third_degree
MG1374	MG1374	MG1437	MG1437	0.8326	0.0000	0.1674	0.1674	Third_degree
MG1374	MG1374	MG1438	MG1438	0.8314	0.0000	0.1686	0.1686	Third_degree
MG1374	MG1374	MG1439	MG1439	0.8430	0.0000	0.1570	0.1570	Third_degree
MG1374	MG1374	MG1440	MG1440	0.8362	0.0000	0.1638	0.1638	Third_degree
MG1374	MG1374	MG1441	MG1441	0.8310	0.0000	0.1690	0.1690	Third_degree
MG1374	MG1374	MG1442	MG1442	0.8311	0.0000	0.1689	0.1689	Third_degree
MG1374	MG1374	MG1443	MG1443	0.8536	0.0000	0.1464	0.1464	Third_degree
MG1374	MG1374	MG1444	MG1444	0.8379	0.0000	0.1621	0.1621	Third_degree
MG1374	MG1374	MG1445	MG1445	0.8364	0.0000	0.1636	0.1636	Third_degree
MG1374	MG1374	MG1446	MG1446	0.8374	0.0000	0.1626	0.1626	Third_degree
MG1374	MG1374	MG1447	MG1447	0.8297	0.0000	0.1703	0.1703	Third_degree
MG1374	MG1374	MG1448	MG1448	0.8412	0.0000	0.1588	0.1588	Third_degree
MG1374	MG1374	MG1449	MG1449	0.8390	0.0000	0.1610	0.1610	Third_degree
MG1374	MG1374	MG1450	MG1450	0.8354	0.0000	0.1646	0.1646	Third_degree
MG1374	MG1374	MG1451	MG1451	0.8403	0.0000	0.1597	0.1597	Third_degree
MG1374	MG1374	MG1452	MG1452	0.8379	0.0000	0.1621	0.1621	Third_degree
MG1374	MG1374	MG1453	MG1453	0.8381	0.0000	0.1619	0.1619	Third_degree
MG1374	MG1374	MG1454	MG1454	0.8354	0.0000	0.1646	0.1646	Third_degree
MG1374	MG1374	MG1455	MG1455	0.8445	0.0000	0.1555	0.1555	Third_degree
MG1374	MG1374	MG1456	MG1456	0.8352	0.0000	0.1648	0.1648	Third_degree
MG1374	MG1374	MG1457	MG1457	0.8350	0.0000	0.1650	0.1650	Third_degree
MG1374	MG1374	MG1458	MG1458	0.8406	0.0000	0.1594	0.1594	Third_degree
MG1374	MG1374	MG1459	MG1459	0.8350	0.0000	0.1650	0.1650	Third_degree
MG1374	MG1374	MG1460	MG1460	0.8373	0.0000	0.1627	0.1627	Third_degree
MG1374	MG1374	MG1461	MG1461	0.8403	0.0000	0.1597	0.1597	Third_degree
MG1376	MG1376	MG1377	MG1377	0.8436	0.0000	0.1564	0.1564	Third_degree
MG1376	MG1376	MG1378	MG1378	0.8415	0.0000	0.1585	0.1585	Third_degree
MG1376	MG1376	MG1379	MG1379	0.8286	0.0000	0.1714	0.1714	Third_degree
MG1376	MG1376	MG1380	MG1380	0.8366	0.0000	0.1634	0.1634	Third_degree
MG1376	MG1376	MG1381	MG1381	0.8375	0.0000	0.1625	0.1625	Third_degree
MG1376	MG1376	MG1382	MG1382	0.8386	0.0000	0.1614	0.1614	Third_degree
MG1376	MG1376	MG1383	MG1383	0.8360	0.0000	0.1640	0.1640	Third_degree
MG1376	MG1376	MG1384	MG1384	0.8306	0.0000	0.1694	0.1694	Third_degree
MG1376	MG1376	MG1385	MG1385	0.8339	0.0000	0.1661	0.1661	Third_degree
MG1376	MG1376	MG1388	MG1388	0.8323	0.0000	0.1677	0.1677	Third_degree
MG1376	MG1376	MG1389	MG1389	0.8386	0.0000	0.1614	0.1614	Third_degree
MG1376	MG1376	MG1390	MG1390	0.8403	0.0000	0.1597	0.1597	Third_degree
MG1376	MG1376	MG1391	MG1391	0.8477	0.0000	0.1523	0.1523	Third_degree
MG1376	MG1376	MG1392	MG1392	0.8384	0.0000	0.1616	0.1616	Third_degree
MG1376	MG1376	MG1393	MG1393	0.8426	0.0000	0.1574	0.1574	Third_degree
MG1376	MG1376	MG1394	MG1394	0.8494	0.0000	0.1506	0.1506	Third_degree
MG1376	MG1376	MG1395	MG1395	0.8386	0.0000	0.1614	0.1614	Third_degree
MG1376	MG1376	MG1396	MG1396	0.8591	0.0000	0.1409	0.1409	Third_degree
MG1376	MG1376	MG1397	MG1397	0.8404	0.0000	0.1596	0.1596	Third_degree
MG1376	MG1376	MG1398	MG1398	0.8408	0.0000	0.1592	0.1592	Third_degree
MG1376	MG1376	MG1399	MG1399	0.8329	0.0000	0.1671	0.1671	Third_degree
MG1376	MG1376	MG1401	MG1401	0.8275	0.0000	0.1725	0.1725	Third_degree
MG1376	MG1376	MG1402	MG1402	0.8379	0.0000	0.1621	0.1621	Third_degree
MG1376	MG1376	MG1403	MG1403	0.8391	0.0000	0.1609	0.1609	Third_degree
MG1376	MG1376	MG1404	MG1404	0.8453	0.0000	0.1547	0.1547	Third_degree
MG1376	MG1376	MG1405	MG1405	0.8386	0.0000	0.1614	0.1614	Third_degree
MG1376	MG1376	MG1406	MG1406	0.8413	0.0000	0.1587	0.1587	Third_degree
MG1376	MG1376	MG1407	MG1407	0.8370	0.0000	0.1630	0.1630	Third_degree
MG1376	MG1376	MG1408	MG1408	0.8423	0.0000	0.1577	0.1577	Third_degree
MG1376	MG1376	MG1409	MG1409	0.8403	0.0000	0.1597	0.1597	Third_degree
MG1376	MG1376	MG1410	MG1410	0.8404	0.0000	0.1596	0.1596	Third_degree
MG1376	MG1376	MG1411	MG1411	0.8323	0.0000	0.1677	0.1677	Third_degree
MG1376	MG1376	MG1412	MG1412	0.8440	0.0000	0.1560	0.1560	Third_degree
MG1376	MG1376	MG1413	MG1413	0.8368	0.0000	0.1632	0.1632	Third_degree
MG1376	MG1376	MG1414	MG1414	0.8387	0.0000	0.1613	0.1613	Third_degree
MG1376	MG1376	MG1415	MG1415	0.8298	0.0000	0.1702	0.1702	Third_degree
MG1376	MG1376	MG1416	MG1416	0.8543	0.0000	0.1457	0.1457	Third_degree
MG1376	MG1376	MG1417	MG1417	0.8397	0.0000	0.1603	0.1603	Third_degree
MG1376	MG1376	MG1418	MG1418	0.8302	0.0000	0.1698	0.1698	Third_degree
MG1376	MG1376	MG1419	MG1419	0.8424	0.0000	0.1576	0.1576	Third_degree
MG1376	MG1376	MG1420	MG1420	0.8342	0.0000	0.1658	0.1658	Third_degree
MG1376	MG1376	MG1421	MG1421	0.8468	0.0000	0.1532	0.1532	Third_degree
MG1376	MG1376	MG1422	MG1422	0.8350	0.0000	0.1650	0.1650	Third_degree
MG1376	MG1376	MG1423	MG1423	0.8430	0.0000	0.1570	0.1570	Third_degree
MG1376	MG1376	MG1424	MG1424	0.8410	0.0000	0.1590	0.1590	Third_degree
MG1376	MG1376	MG1425	MG1425	0.8389	0.0000	0.1611	0.1611	Third_degree
MG1376	MG1376	MG1426	MG1426	0.8455	0.0000	0.1545	0.1545	Third_degree
MG1376	MG1376	MG1427	MG1427	0.8401	0.0000	0.1599	0.1599	Third_degree
MG1376	MG1376	MG1428	MG1428	0.8403	0.0000	0.1597	0.1597	Third_degree
MG1376	MG1376	MG1429	MG1429	0.8383	0.0000	0.1617	0.1617	Third_degree
MG1376	MG1376	MG1430	MG1430	0.8445	0.0000	0.1555	0.1555	Third_degree
MG1376	MG1376	MG1431	MG1431	0.8385	0.0000	0.1615	0.1615	Third_degree
MG1376	MG1376	MG1432	MG1432	0.8405	0.0000	0.1595	0.1595	Third_degree
MG1376	MG1376	MG1433	MG1433	0.8391	0.0000	0.1609	0.1609	Third_degree
MG1376	MG1376	MG1434	MG1434	0.8469	0.0000	0.1531	0.1531	Third_degree
MG1376	MG1376	MG1435	MG1435	0.8415	0.0000	0.1585	0.1585	Third_degree
MG1376	MG1376	MG1436	MG1436	0.8424	0.0000	0.1576	0.1576	Third_degree
MG1376	MG1376	MG1437	MG1437	0.8428	0.0000	0.1572	0.1572	Third_degree
MG1376	MG1376	MG1438	MG1438	0.8342	0.0000	0.1658	0.1658	Third_degree
MG1376	MG1376	MG1439	MG1439	0.8442	0.0000	0.1558	0.1558	Third_degree
MG1376	MG1376	MG1440	MG1440	0.8443	0.0000	0.1557	0.1557	Third_degree
MG1376	MG1376	MG1441	MG1441	0.8399	0.0000	0.1601	0.1601	Third_degree
MG1376	MG1376	MG1442	MG1442	0.8503	0.0000	0.1497	0.1497	Third_degree
MG1376	MG1376	MG1443	MG1443	0.8532	0.0000	0.1468	0.1468	Third_degree
MG1376	MG1376	MG1444	MG1444	0.8369	0.0000	0.1631	0.1631	Third_degree
MG1376	MG1376	MG1445	MG1445	0.8415	0.0000	0.1585	0.1585	Third_degree
MG1376	MG1376	MG1446	MG1446	0.8388	0.0000	0.1612	0.1612	Third_degree
MG1376	MG1376	MG1447	MG1447	0.8395	0.0000	0.1605	0.1605	Third_degree
MG1376	MG1376	MG1448	MG1448	0.8416	0.0000	0.1584	0.1584	Third_degree
MG1376	MG1376	MG1449	MG1449	0.8359	0.0000	0.1641	0.1641	Third_degree
MG1376	MG1376	MG1450	MG1450	0.8380	0.0000	0.1620	0.1620	Third_degree
MG1376	MG1376	MG1451	MG1451	0.8417	0.0000	0.1583	0.1583	Third_degree
MG1376	MG1376	MG1452	MG1452	0.8383	0.0000	0.1617	0.1617	Third_degree
MG1376	MG1376	MG1453	MG1453	0.8372	0.0000	0.1628	0.1628	Third_degree
MG1376	MG1376	MG1454	MG1454	0.8413	0.0000	0.1587	0.1587	Third_degree
MG1376	MG1376	MG1455	MG1455	0.8393	0.0000	0.1607	0.1607	Third_degree
MG1376	MG1376	MG1456	MG1456	0.8380	0.0000	0.1620	0.1620	Third_degree
MG1376	MG1376	MG1457	MG1457	0.8444	0.0000	0.1556	0.1556	Third_degree
MG1376	MG1376	MG1458	MG1458	0.8356	0.0000	0.1644	0.1644	Third_degree
MG1376	MG1376	MG1459	MG1459	0.8381	0.0000	0.1619	0.1619	Third_degree
MG1376	MG1376	MG1460	MG1460	0.8357	0.0000	0.1643	0.1643	Third_degree
MG1376	MG1376	MG1461	MG1461	0.8391	0.0000	0.1609	0.1609	Third_degree
MG1377	MG1377	MG1378	MG1378	0.8457	0.0000	0.1543	0.1543	Third_degree
MG1377	MG1377	MG1379	MG1379	0.8302	0.0000	0.1698	0.1698	Third_degree
MG1377	MG1377	MG1380	MG1380	0.8407	0.0000	0.1593	0.1593	Third_degree
MG1377	MG1377	MG1381	MG1381	0.8358	0.0000	0.1642	0.1642	Third_degree
MG1377	MG1377	MG1382	MG1382	0.8378	0.0000	0.1622	0.1622	Third_degree
MG1377	MG1377	MG1383	MG1383	0.8415	0.0000	0.1585	0.1585	Third_degree
MG1377	MG1377	MG1384	MG1384	0.8383	0.0000	0.1617	0.1617	Third_degree
MG1377	MG1377	MG1385	MG1385	0.8367	0.0000	0.1633	0.1633	Third_degree
MG1377	MG1377	MG1388	MG1388	0.8401	0.0000	0.1599	0.1599	Third_degree
MG1377	MG1377	MG1389	MG1389	0.8416	0.0000	0.1584	0.1584	Third_degree
MG1377	MG1377	MG1390	MG1390	0.8433	0.0000	0.1567	0.1567	Third_degree
MG1377	MG1377	MG1391	MG1391	0.8459	0.0000	0.1541	0.1541	Third_degree
MG1377	MG1377	MG1392	MG1392	0.8365	0.0000	0.1635	0.1635	Third_degree
MG1377	MG1377	MG1393	MG1393	0.8421	0.0000	0.1579	0.1579	Third_degree
MG1377	MG1377	MG1394	MG1394	0.8523	0.0000	0.1477	0.1477	Third_degree
MG1377	MG1377	MG1395	MG1395	0.8338	0.0000	0.1662	0.1662	Third_degree
MG1377	MG1377	MG1397	MG1397	0.8468	0.0000	0.1532	0.1532	Third_degree
MG1377	MG1377	MG1398	MG1398	0.8399	0.0000	0.1601	0.1601	Third_degree
MG1377	MG1377	MG1399	MG1399	0.8353	0.0000	0.1647	0.1647	Third_degree
MG1377	MG1377	MG1401	MG1401	0.8328	0.0000	0.1672	0.1672	Third_degree
MG1377	MG1377	MG1402	MG1402	0.8382	0.0000	0.1618	0.1618	Third_degree
MG1377	MG1377	MG1403	MG1403	0.8374	0.0000	0.1626	0.1626	Third_degree
MG1377	MG1377	MG1404	MG1404	0.8498	0.0000	0.1502	0.1502	Third_degree
MG1377	MG1377	MG1405	MG1405	0.8475	0.0000	0.1525	0.1525	Third_degree
MG1377	MG1377	MG1406	MG1406	0.8440	0.0000	0.1560	0.1560	Third_degree
MG1377	MG1377	MG1407	MG1407	0.8410	0.0000	0.1590	0.1590	Third_degree
MG1377	MG1377	MG1408	MG1408	0.8446	0.0000	0.1554	0.1554	Third_degree
MG1377	MG1377	MG1409	MG1409	0.8431	0.0000	0.1569	0.1569	Third_degree
MG1377	MG1377	MG1410	MG1410	0.8427	0.0000	0.1573	0.1573	Third_degree
MG1377	MG1377	MG1411	MG1411	0.8380	0.0000	0.1620	0.1620	Third_degree
MG1377	MG1377	MG1412	MG1412	0.8405	0.0000	0.1595	0.1595	Third_degree
MG1377	MG1377	MG1413	MG1413	0.8421	0.0000	0.1579	0.1579	Third_degree
MG1377	MG1377	MG1414	MG1414	0.8396	0.0000	0.1604	0.1604	Third_degree
MG1377	MG1377	MG1415	MG1415	0.8349	0.0000	0.1651	0.1651	Third_degree
MG1377	MG1377	MG1416	MG1416	0.8516	0.0000	0.1484	0.1484	Third_degree
MG1377	MG1377	MG1417	MG1417	0.8378	0.0000	0.1622	0.1622	Third_degree
MG1377	MG1377	MG1418	MG1418	0.8332	0.0000	0.1668	0.1668	Third_degree
MG1377	MG1377	MG1419	MG1419	0.8487	0.0000	0.1513	0.1513	Third_degree
MG1377	MG1377	MG1420	MG1420	0.8395	0.0000	0.1605	0.1605	Third_degree
MG1377	MG1377	MG1421	MG1421	0.8413	0.0000	0.1587	0.1587	Third_degree
MG1377	MG1377	MG1422	MG1422	0.8486	0.0000	0.1514	0.1514	Third_degree
MG1377	MG1377	MG1423	MG1423	0.8426	0.0000	0.1574	0.1574	Third_degree
MG1377	MG1377	MG1424	MG1424	0.8360	0.0000	0.1640	0.1640	Third_degree
MG1377	MG1377	MG1425	MG1425	0.8351	0.0000	0.1649	0.1649	Third_degree
MG1377	MG1377	MG1426	MG1426	0.8414	0.0000	0.1586	0.1586	Third_degree
MG1377	MG1377	MG1427	MG1427	0.8407	0.0000	0.1593	0.1593	Third_degree
MG1377	MG1377	MG1428	MG1428	0.8461	0.0000	0.1539	0.1539	Third_degree
MG1377	MG1377	MG1429	MG1429	0.8398	0.0000	0.1602	0.1602	Third_degree
MG1377	MG1377	MG1430	MG1430	0.8500	0.0000	0.1500	0.1500	Third_degree
MG1377	MG1377	MG1431	MG1431	0.8481	0.0000	0.1519	0.1519	Third_degree
MG1377	MG1377	MG1432	MG1432	0.8423	0.0000	0.1577	0.1577	Third_degree
MG1377	MG1377	MG1433	MG1433	0.8487	0.0000	0.1513	0.1513	Third_degree
MG1377	MG1377	MG1434	MG1434	0.8460	0.0000	0.1540	0.1540	Third_degree
MG1377	MG1377	MG1435	MG1435	0.8387	0.0000	0.1613	0.1613	Third_degree
MG1377	MG1377	MG1436	MG1436	0.8396	0.0000	0.1604	0.1604	Third_degree
MG1377	MG1377	MG1437	MG1437	0.8419	0.0000	0.1581	0.1581	Third_degree
